time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-21T01:00:00.0000000Z,2021-01-21T02:00:00.0000000Z,2021-01-21T01:00:00.7950000Z,2021-01-21T01:59:43.2580000Z,1.0001,1.0003,1.0,1.0,1299353.25910329,889
2021-01-21T02:00:00.0000000Z,2021-01-21T03:00:00.0000000Z,2021-01-21T02:00:00.8460000Z,2021-01-21T02:59:58.6060000Z,0.9999,1.0003,0.9999,1.0002,705407.75616608,803
2021-01-21T03:00:00.0000000Z,2021-01-21T04:00:00.0000000Z,2021-01-21T03:00:13.1280000Z,2021-01-21T03:59:59.9720000Z,1.0003,1.0005,1.0001,1.0003,1239386.94723164,1108
2021-01-21T04:00:00.0000000Z,2021-01-21T05:00:00.0000000Z,2021-01-21T04:00:05.5880000Z,2021-01-21T04:59:47.1570000Z,1.0004,1.0005,1.0,1.0001,1565544.04095034,1502
2021-01-21T05:00:00.0000000Z,2021-01-21T06:00:00.0000000Z,2021-01-21T05:00:07.7150000Z,2021-01-21T05:59:50.2980000Z,1.0,1.0001,0.9998,0.9999,2070709.55396709,1135
2021-01-21T06:00:00.0000000Z,2021-01-21T07:00:00.0000000Z,2021-01-21T06:00:09.6600000Z,2021-01-21T06:59:55.8760000Z,1.0,1.0,0.9994,0.9995,1221897.63734441,1080
2021-01-21T07:00:00.0000000Z,2021-01-21T08:00:00.0000000Z,2021-01-21T07:00:01.4020000Z,2021-01-21T07:59:57.3000000Z,0.9995,1.0001,0.9994,0.9996,2648944.36269773,2168
2021-01-21T08:00:00.0000000Z,2021-01-21T09:00:00.0000000Z,2021-01-21T08:00:01.6340000Z,2021-01-21T08:59:59.9060000Z,0.9996,0.9998,0.9991,0.9995,4250899.7538148,3788
2021-01-21T09:00:00.0000000Z,2021-01-21T10:00:00.0000000Z,2021-01-21T09:00:01.1790000Z,2021-01-21T09:59:59.9660000Z,0.9994,0.9997,0.9988,0.9993,4888577.66531002,5475
2021-01-21T10:00:00.0000000Z,2021-01-21T11:00:00.0000000Z,2021-01-21T10:00:01.4660000Z,2021-01-21T10:59:59.6070000Z,0.9993,0.9998,0.9988,0.9998,3791754.14490992,2441
2021-01-21T11:00:00.0000000Z,2021-01-21T12:00:00.0000000Z,2021-01-21T11:00:01.2890000Z,2021-01-21T11:59:56.1460000Z,0.9998,0.9999,0.9985,0.9993,2623528.62127964,2427
2021-01-21T12:00:00.0000000Z,2021-01-21T13:00:00.0000000Z,2021-01-21T12:00:01.1970000Z,2021-01-21T12:59:59.8790000Z,0.9994,1.0005,0.9988,0.9998,6020058.63458397,5540
2021-01-21T13:00:00.0000000Z,2021-01-21T14:00:00.0000000Z,2021-01-21T13:00:00.7370000Z,2021-01-21T13:59:58.6160000Z,0.9997,0.9999,0.9994,0.9995,5238369.77892074,3006
2021-01-21T14:00:00.0000000Z,2021-01-21T15:00:00.0000000Z,2021-01-21T14:00:01.9650000Z,2021-01-21T14:59:54.7680000Z,0.9995,0.9996,0.9985,0.9987,6600212.12477649,3844
2021-01-21T15:00:00.0000000Z,2021-01-21T16:00:00.0000000Z,2021-01-21T15:00:00.3910000Z,2021-01-21T15:59:55.7250000Z,0.9988,0.9994,0.9984,0.9985,7607443.71180809,3888
2021-01-21T16:00:00.0000000Z,2021-01-21T17:00:00.0000000Z,2021-01-21T16:00:04.3550000Z,2021-01-21T16:59:58.2270000Z,0.9985,0.9989,0.9967,0.9984,4056143.5038158,2330
2021-01-21T17:00:00.0000000Z,2021-01-21T18:00:00.0000000Z,2021-01-21T17:00:06.1000000Z,2021-01-21T17:59:51.4610000Z,0.9985,0.9993,0.9982,0.9991,4637585.03361333,2235
2021-01-21T18:00:00.0000000Z,2021-01-21T19:00:00.0000000Z,2021-01-21T18:00:12.8250000Z,2021-01-21T18:59:52.4420000Z,0.9991,0.9995,0.9984,0.9994,4299761.56218553,1783
2021-01-21T19:00:00.0000000Z,2021-01-21T20:00:00.0000000Z,2021-01-21T19:00:04.2940000Z,2021-01-21T19:59:56.1910000Z,0.9994,1.0,0.9991,0.9998,1368157.55729307,1843
2021-01-21T20:00:00.0000000Z,2021-01-21T21:00:00.0000000Z,2021-01-21T20:00:03.2040000Z,2021-01-21T20:59:52.2100000Z,0.9998,1.0001,0.9996,0.9999,1839719.06538413,1567
2021-01-21T21:00:00.0000000Z,2021-01-21T22:00:00.0000000Z,2021-01-21T21:00:00.0460000Z,2021-01-21T21:59:58.9200000Z,0.9999,1.0,0.9997,0.9997,2600665.62793383,1663
2021-01-21T22:00:00.0000000Z,2021-01-21T23:00:00.0000000Z,2021-01-21T22:00:00.3660000Z,2021-01-21T22:59:57.9180000Z,0.9997,0.9999,0.9984,0.9994,5719710.39058724,4298
2021-01-21T23:00:00.0000000Z,2021-01-22T00:00:00.0000000Z,2021-01-21T23:00:02.8850000Z,2021-01-21T23:59:49.3950000Z,0.9993,0.9996,0.9988,0.9991,2861981.18454336,2356
2021-01-22T00:00:00.0000000Z,2021-01-22T01:00:00.0000000Z,2021-01-22T00:00:00.5680000Z,2021-01-22T00:59:59.0510000Z,0.9993,1.0002,0.9987,0.9991,8191218.42486047,4115
2021-01-22T01:00:00.0000000Z,2021-01-22T02:00:00.0000000Z,2021-01-22T01:00:02.4040000Z,2021-01-22T01:59:20.0130000Z,0.999,1.0,0.9984,0.9992,3816344.83725368,2597
